Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?b  child  ?a  ?b  successor  ?a   ,?a  predecessor  ?b,0.279329609,0.787401575,0.970873786,100,127,103,?b
?a  parent  ?b  ?b  successor  ?a   ,?a  predecessor  ?b,0.251396648,0.796460177,0.957446809,90,113,94,?b
?a  father  ?b  ?a  parent  ?b   ,?a  predecessor  ?b,0.231843575,0.192575406,0.506097561,83,431,164,?b
?a  father  ?b  ?b  successor  ?a   ,?a  predecessor  ?b,0.217877095,0.764705882,0.962962963,78,102,81,?b
?b  successor  ?a  ?a  successor  ?b   ,?a  predecessor  ?b,0.011173184,1,1,4,4,4,?b
?a  mother  ?b  ?b  successor  ?a   ,?a  predecessor  ?b,0.025139665,0.818181818,1,9,11,9,?b
?b  child  ?f  ?a  successor  ?f   ,?a  predecessor  ?b,0.053072626,0.06031746,0.10982659,19,315,173,?b
?f  mother  ?b  ?a  successor  ?f   ,?a  predecessor  ?b,0.011173184,0.022346369,0.16,4,179,25,?b
?f  father  ?b  ?a  successor  ?f   ,?a  predecessor  ?b,0.039106145,0.068627451,0.101449275,14,204,138,?b
?b  child  ?a  ?a  predecessor  ?b   ,?a  father  ?b,0.11942959,0.527559055,0.930555556,67,127,72,?a
?b  child  ?a  ?b  successor  ?a   ,?a  father  ?b,0.106951872,0.472440945,0.909090909,60,127,66,?a
?a  parent  ?b  ?b  successor  ?a   ,?a  father  ?b,0.144385027,0.716814159,0.9,81,113,90,?a
?f  parent  ?b  ?a  successor  ?f   ,?a  predecessor  ?b,0.05027933,0.04534005,0.104046243,18,397,173,?b
?a  parent  ?b  ?a  predecessor  ?b   ,?a  father  ?b,0.147950089,0.72173913,0.902173913,83,115,92,?a
?a  mother  ?f  ?f  successor  ?b   ,?a  father  ?b,0.010695187,0.162162162,0.214285714,6,37,28,?a
?f  child  ?a  ?b  marriedTo  ?f   ,?a  mother  ?b,0.012254902,0.104166667,0.384615385,5,48,13,?a
?b  child  ?a  ?a  parent  ?b   ,?a  father  ?b,0.272727273,0.451327434,0.583969466,153,339,262,?a
?a  predecessor  ?b  ?b  successor  ?a   ,?a  parent  ?b,0.095137421,0.335820896,0.555555556,90,268,162,?b
?a  father  ?b  ?b  successor  ?a   ,?a  parent  ?b,0.085623679,0.794117647,0.952941176,81,102,85,?b
?b  child  ?a  ?b  successor  ?a   ,?a  parent  ?b,0.069767442,0.519685039,0.647058824,66,127,102,?b
?b  child  ?a  ?a  predecessor  ?b   ,?a  parent  ?b,0.077167019,0.57480315,0.682242991,73,127,107,?b
?a  father  ?b  ?a  predecessor  ?b   ,?a  parent  ?b,0.087737844,0.783018868,0.954022989,83,106,87,?b
?e  predecessor  ?b  ?e  successor  ?a   ,?a  parent  ?b,0.017970402,0.0609319,0.108974359,17,279,156,?b
?b  predecessor  ?a  ?a  successor  ?b   ,?a  child  ?b,0.066312997,0.373134328,0.549450549,100,268,182,?b
?b  father  ?a  ?b  predecessor  ?a   ,?a  child  ?b,0.044429708,0.632075472,0.893333333,67,106,75,?b
?b  father  ?a  ?a  successor  ?b   ,?a  child  ?b,0.039787798,0.588235294,0.833333333,60,102,72,?b
?b  parent  ?a  ?a  successor  ?b   ,?a  child  ?b,0.043766578,0.584070796,0.825,66,113,80,?b
?b  father  ?a  ?b  parent  ?a   ,?a  child  ?b,0.101458886,0.354988399,0.753694581,153,431,203,?b
?a  child  ?f  ?b  predecessor  ?f   ,?a  child  ?b,0.015251989,0.086142322,0.115,23,267,200,?b
?a  child  ?f  ?b  successor  ?f   ,?a  child  ?b,0.014588859,0.06984127,0.11,22,315,200,?b
?f  child  ?b  ?a  marriedTo  ?f   ,?a  child  ?b,0.017241379,0.541666667,0.541666667,26,48,48,?b
?b  parent  ?a  ?b  predecessor  ?a   ,?a  child  ?b,0.048408488,0.634782609,0.879518072,73,115,83,?b
?a  child  ?e  ?e  successor  ?b   ,?a  child  ?b,0.014588859,0.08627451,0.105263158,22,255,209,?b
?a  child  ?e  ?e  predecessor  ?b   ,?a  child  ?b,0.015251989,0.077181208,0.115,23,298,200,?b
